4610	1826	1763	4	2	0	3	1
5015	1880	1475	2	3	0	4	2
4310	1695	1480	12	6	5	10	7
4747	1820	1440	15	8	4	9	6
3460	1618	1465	12	8	7	21	6
4490	1780	1405	10	12	14	9	13
4230	1690	1550	7	0	2	5	7
4270	1695	1480	5	3	12	5	4
4480	1840	1500	4	0	6	8	5
4135	1755	1605	6	0	0	3	2
4600	1800	1475	12	3	5	0	0
4574	1704	1845	6	4	2	0	0
4500	1755	1450	15	9	5	7	6
4420	1690	1590	7	4	3	4	5
4930	1795	1475	4	2	3	1	2
4350	1735	1470	8	9	4	2	5
4945	1695	1970	3	0	0	0	2
4400	1695	1470	13	7	4	8	5
4945	1845	1480	4	3	4	1	2
3588	1563	1533	3	5	15	5	8
4466	1705	1410	4	5	7	2	0
4531	1817	1421	4	2	0	4	3
4880	1800	1450	5	3	2	6	5
5160	1895	1930	7	2	4	3	2
4800	1770	1880	4	3	8	2	6
4590	1766	1767	0	1	5	7	8
4194	1680	1440	3	4	2	8	7
4865	1805	1450	12	8	4	2	6
3763	1615	1440	3	5	14	4	7
3998	1640	1535	0	3	8	6	9
4285	1765	1715	0	6	4	12	8
4608	1743	1465	15	12	4	6	5
4789	1765	1470	10	8	6	7	0
4687	1700	1450	0	2	12	6	5
4580	1725	1500	9	4	3	7	5
4603	1780	1480	5	6	8	0	9
3820	1495	1860	0	4	20	8	5
4212	1762	1531	8	7	10	3	5
4245	1680	1500	5	7	8	4	9
3745	1615	1385	0	0	15	8	4
4855	1780	1480	9	5	0	5	6
4544	1760	1464	8	7	4	5	5
5035	1855	1485	12	6	0	4	3
6831	1980	1478	2	0	0	1	1
4670	1780	1435	15	13	9	10	6
